student_num,name,location,cuisine,fav_dish,cost_per_person,yearly_visits,last_visit
13,The Cellar,UR,Mixed,Cajun Noodles,9,4,December
14,"""Benny's Pizza""","Roanoke, VA",Pizza,Onion/mushroom,5,12,20/12/17
14,"""Alejandro's""","Roanoke, VA",Mexican,Mole Pollo,14,3,13/7/17
14,"""WIldflower Cafe""","Roanoke, VA",Whole Food,Parthenon Wrap,12,4,5/1/17
14,"""El Rodeo""","Roanoke, VA",Mexican,Fajitas,12,5,23/12/17
15,Bonchon,"Richmond, VA",Korean,strips,20,10,18-Jan
15,Tequilas,"Philadelphia, PA",Mexican,Molcajete de carne,30,1,17-May
15,Double Knot,"Philadelphia, PA",Asian,cod fried rice,30,2,17-Dec
15,Barbeque Exchange,"Gordonsville, VA",Barbeque,pulled pork,15,2,17-Nov
15,Taco Bell,"Richmond, VA",Mexican,beef quesarito,10,20,18-Jan
15,Akida,"Richmond, VA",Asian,spicy tuna roll,20,2,17-Oct
16,Nacho Mamas,"Richmond, VA",Tex-Mex,Enchiladas,13,8,Dec-17
16,Pulcinellas,"McLean, VA",Italian,Veal Marsala,20,4,Jan-18
16,TacoDeli,"Austin, TX",Tex-Mex,Cowboy Taco,7,10,Jan-18
16,Kerbey Lane Cafe,"Austin, TX",American,Pancakes,6,3,Dec-17
16,Austin's Pizza,"Austin, TX",Pizza,Cheese Pizza,9,10,Dec-17
16,Hopdoddy Burger Bar,"Austin, TX",Burgers,Classic burger & milkshake,13,3,Jul-17
17,The Daily,"Richmond, VA",American,Tacos,15,4,Aug-17
17,Continental Westhampton,"Richmond, VA",American,Breakfast pizza,10,4,Aug-17
17,Lemongrass,"Annapolis, MD",Thai,Pad thai,15,4,Jan-15
17,Hapa,"Denver, CO",Japanese/Sushi,Caterpillar roll,15,2,Mar-17
17,Stuzzi,"Richmond, VA",Italian,Margherita pizza,17,1,Dec-17
17,Zinburger,"Charlottesville, VA",American,Burger,10,2,May-17
19,Roasting Company ,"Charlotte, NC",Roasted Chicken ,Chicken and Black Bean Combo ,10,25,Jan-18
19,Moe's ,"Charlotte, NC",Mexican ,Wrong Doug ,10,10,Yesterday
19,Nikkos ,"Charlotte, NC",Japanese ,Sushi ,30,1,Aug-18
19,Mama's Fish House ,"Paia, HI",Fish ,Wahoo ,30,1,Aug-17
19,Yafo,"Charlotte, NC",Mediteranian ,Hummus Bowl,10,5,Jan-18
19,Libbie Market,"Charlotte, NC",American ,Number 5 sandwhich ,10,10,Jan-18
20,Pit and the Peel,"Richmond, VA",Fresh food,Asian quinoa bowl,8,10,Jan-18
20,Sticky Rice,"Richmond, VA",Asian,Sticky balls,15,4,Jan-18
20,Xitomate,"Ellicott City, MD",Mexican,Guacamole,15,2,Jan-17
20,Mosaic,"Richmond, VA",American,Mac and Cheese,15,2,Apr-17
20,Victoria Gastro Pub,"Ellicott City, MD",European,Flatbread,20,1,Jan-17
20,La Tagliatella,"Seville, Spain",Italian,Pasta,17,5,Nov-17
